Tanggal;Positif Kumulatif (Jakarta);Sembuh Kumulatif (Jakarta)
01/03/2020;0;0
02/03/2020;0;0
03/03/2020;3;0
04/03/2020;3;0
05/03/2020;7;0
06/03/2020;7;0
07/03/2020;7;0
08/03/2020;7;0
09/03/2020;34;0
10/03/2020;34;0
11/03/2020;36;0
12/03/2020;62;0
13/03/2020;72;0
14/03/2020;79;0
15/03/2020;95;0
16/03/2020;97;0
17/03/2020;122;0
18/03/2020;160;12
19/03/2020;210;13
20/03/2020;224;13
21/03/2020;268;17
22/03/2020;304;21
23/03/2020;355;22
24/03/2020;426;23
25/03/2020;472;27
26/03/2020;515;29
27/03/2020;566;31
28/03/2020;603;43
29/03/2020;701;48
30/03/2020;727;49
31/03/2020;741;49
01/04/2020;816;51
02/04/2020;909;54
03/04/2020;990;56
04/04/2020;1.071;58
05/04/2020;1.151;64
06/04/2020;1.299;68
07/04/2020;1.443;69
08/04/2020;1.552;75
09/04/2020;1.719;82
10/04/2020;1.810;82
11/04/2020;1.903;142
12/04/2020;2.082;142
13/04/2020;2.242;142
14/04/2020;2.349;163
15/04/2020;2.447;164
16/04/2020;2.670;202
17/04/2020;2.823;203
18/04/2020;2.902;206
19/04/2020;3.033;207
20/04/2020;3.112;237
21/04/2020;3.279;286
22/04/2020;3.399;291
23/04/2020;3.506;292
24/04/2020;3.605;327
25/04/2020;3.681;334
26/04/2020;3.746;338
27/04/2020;3.832;338
28/04/2020;3.950;341
29/04/2020;4.033;412
30/04/2020;4.138;412
01/05/2020;4.283;427
02/05/2020;4.355;562
03/05/2020;4.417;622
04/05/2020;4.472;650
05/05/2020;4.641;711
06/05/2020;4.709;713
07/05/2020;4.775;718
08/05/2020;4.901;763
09/05/2020;4.958;767
10/05/2020;5.140;803
11/05/2020;5.195;836
12/05/2020;5.303;1.262
13/05/2020;5.437;1.277
14/05/2020;5.617;1.279
15/05/2020;5.679;1.286
16/05/2020;5.795;1.292
17/05/2020;5.922;1.295
18/05/2020;5.996;1.301
19/05/2020;6.053;1.417
20/05/2020;6.150;1.425
21/05/2020;6.220;1.536
22/05/2020;6.316;1.558
23/05/2020;6.443;1.587
24/05/2020;6.561;1.594
25/05/2020;6.628;1.648
26/05/2020;6.689;1.678
27/05/2020;6.826;1.698
28/05/2020;6.929;1.719
29/05/2020;7.053;1.807
30/05/2020;7.151;2.003
31/05/2020;7.272;2.102
01/06/2020;7.383;2.246
02/06/2020;7.459;2.405
03/06/2020;7.539;2.534
04/06/2020;7.600;2.607
05/06/2020;7.684;2.751
06/06/2020;7.786;2.840
07/06/2020;7.946;3.170
08/06/2020;8.037;3.205
09/06/2020;8.276;3.369
10/06/2020;8.423;3.517
11/06/2020;8.552;3.664
12/06/2020;8.628;3.780
13/06/2020;8.748;3.840
14/06/2020;8.863;4.091
15/06/2020;8.968;4.198
16/06/2020;9.092;4.329
17/06/2020;9.209;4.444
18/06/2020;9.385;4.592
19/06/2020;9.525;4.682
20/06/2020;9.703;4.821
21/06/2020;9.830;5.054
22/06/2020;9.957;5.128
23/06/2020;10.123;5.228
24/06/2020;10.277;5.322
25/06/2020;10.472;5.435
26/06/2020;10.640;5.542
27/06/2020;10.853;5.610
28/06/2020;10.985;5.865
29/06/2020;11.080;6.118
30/06/2020;11.276;6.512
01/07/2020;11.482;6.680
02/07/2020;11.677;6.871
03/07/2020;11.824;7.109
04/07/2020;12.039;7.377
05/07/2020;12.295;7.663
06/07/2020;12.526;8.033
07/07/2020;12.725;8.277
08/07/2020;13.069;8.429
09/07/2020;13.359;8.647
10/07/2020;13.598;8.825
11/07/2020;13.957;9.040
12/07/2020;14.361;9.200
13/07/2020;14.639;9.408
14/07/2020;14.914;9.528
15/07/2020;15.173;9.721
16/07/2020;15.466;9.857
17/07/2020;15.707;9.994
18/07/2020;16.038;10.117
19/07/2020;16.351;10.444
20/07/2020;16.712;10.602
21/07/2020;17.153;10.864
22/07/2020;17.529;11.187
23/07/2020;17.945;11.302
24/07/2020;18.230;11.585
25/07/2020;18.623;11.715
26/07/2020;19.001;11.889
27/07/2020;19.473;11.996
